Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
296,2800,Wilson's Plover,Pluvier de Wilson,Charadriiformes,Charadriidae,Charadrius,wilsonia
298,2810,Mountain Plover,Pluvier montagnard,Charadriiformes,Charadriidae,Charadrius,montanus
299,2780,Snowy Plover,Pluvier neigeux,Charadriiformes,Charadriidae,Charadrius,nivosus
301,2610,Upland Sandpiper,Maubèche des champs,Charadriiformes,Scolopacidae,Bartramia,longicauda
302,2680,Bristle-thighed Curlew,Courlis d'Alaska,Charadriiformes,Scolopacidae,Numenius,tahitiensis
303,2650,Whimbrel,Courlis corlieu,Charadriiformes,Scolopacidae,Numenius,phaeopus
304,2640,Long-billed Curlew,Courlis à long bec,Charadriiformes,Scolopacidae,Numenius,americanus
306,2500,Bar-tailed Godwit,Barge rousse,Charadriiformes,Scolopacidae,Limosa,lapponica
308,2510,Hudsonian Godwit,Barge hudsonienne,Charadriiformes,Scolopacidae,Limosa,haemastica
309,2490,Marbled Godwit,Barge marbrée,Charadriiformes,Scolopacidae,Limosa,fedoa
310,2830,Ruddy Turnstone,Tournepierre à collier,Charadriiformes,Scolopacidae,Arenaria,interpres
311,2840,Black Turnstone,Tournepierre noir,Charadriiformes,Scolopacidae,Arenaria,melanocephala
312,2340,Red Knot,Bécasseau maubèche,Charadriiformes,Scolopacidae,Calidris,canutus
313,2820,Surfbird,Bécasseau du ressac,Charadriiformes,Scolopacidae,Calidris,virgata
314,2600,Ruff,Combattant varié,Charadriiformes,Scolopacidae,Calidris,pugnax
315,2380,Sharp-tailed Sandpiper,Bécasseau à queue pointue,Charadriiformes,Scolopacidae,Calidris,acuminata
316,2330,Stilt Sandpiper,Bécasseau à échasses,Charadriiformes,Scolopacidae,Calidris,himantopus
319,2422,Red-necked Stint,Bécasseau à col roux,Charadriiformes,Scolopacidae,Calidris,ruficollis
320,2480,Sanderling,Bécasseau sanderling,Charadriiformes,Scolopacidae,Calidris,alba
321,2430,Dunlin,Bécasseau variable,Charadriiformes,Scolopacidae,Calidris,alpina
322,2356,Rock Sandpiper,Bécasseau des Aléoutiennes,Charadriiformes,Scolopacidae,Calidris,ptilocnemis
